City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,ciudad melchor muzquiz,27.8833,-101.5167,36.24,28,0,4.57,MX,1722976305
110,pont rouge,48.8833,-72.0825,20.06,48,73,5.34,CA,1722976305
111,montevideo,-34.8335,-56.1674,19.01,94,100,3.09,UY,1722976083
112,wahpeton,46.2652,-96.6059,25.51,60,20,4.63,US,1722976306
113,alofi,-19.0595,-169.9187,23.94,64,40,3.09,NU,1722976306
114,polyarnyy,69.1989,33.4478,13.2,54,5,4.18,RU,1722976306
115,stanley,54.868,-1.6985,16.01,71,20,2.06,GB,1722976133
116,northam,51.0333,-4.2167,16.33,86,0,4.64,GB,1722976306
117,muroto-misakicho,33.2833,134.15,28.17,79,34,1.84,JP,1722976306
118,oranjemund,-28.55,16.4333,12.45,74,70,1.11,NA,1722976306
119,kargat,55.1956,80.2811,15.09,94,35,3.06,RU,1722976306
120,mount pearl,47.5166,-52.7813,20.18,89,100,7.72,CA,1722976306
121,hanak,41.2336,42.8472,12.32,93,0,1.32,TR,1722976306
122,ust-nera,64.5667,143.2,10.35,87,100,2.13,RU,1722976307
123,atafu village,-8.5421,-172.5159,27.93,78,85,7.1,TK,1722976307
124,isla,15.8939,120.3036,24.31,91,65,1.87,PH,1722976307
125,prigen,-7.6833,112.6167,17.74,84,56,1.4,ID,1722976307
126,mahikeng,-25.8652,25.6442,10.99,50,0,2.06,ZA,1722976307
127,porto novo,6.4965,2.6036,24.65,82,80,4.59,BJ,1722976307
128,natal,-5.795,-35.2094,26.36,69,20,9.77,BR,1722976027
129,horta,38.5333,-28.6333,25.8,81,40,4.12,PT,1722976307
130,kodiak,57.79,-152.4072,12.73,100,100,5.14,US,1722976307
131,tamiahua,21.2667,-97.45,30.11,70,22,4.36,MX,1722976307
132,charlottetown,46.2352,-63.1267,22.1,68,75,3.6,CA,1722975764
133,marsa alam,25.0757,34.8918,31.75,48,2,0.17,EG,1722976307
